Thing_to_do,Total_Reviews,Average Rating,Activity_type,URL,Thumbnail_URL,Link_to_reviews
1. Perlan,"2,693",4.5 of 5,Speciality Museums • Points of Interest & Landmarks,https://www.tripadvisor.com/Attraction_Review-g189970-d246003-Reviews-Perlan-Reykjavik_Capital_Region.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/1c/b8/fd/perlan.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Profile/Al_Gale777
2. Ring Road,194,5.0 of 5,Scenic Drives,https://www.tripadvisor.com/Attraction_Review-g189952-d555027-Reviews-Ring_Road-Iceland.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/a7/b5/d3/godafoss-waterfall.jpg?w=500&h=-1&s=1,https://www.tripadvisor.com/Profile/T4810JArobertl
3. Gunnuhver Hot Springs,678,4.5 of 5,Hot Springs & Geysers,https://www.tripadvisor.com/Attraction_Review-g608874-d3512299-Reviews-Gunnuhver_Hot_Springs-Grindavik_Reykjanes_Peninsula.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/65/a6/93/gunnuhver-geothermal.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Profile/rocky22018
4. Harpa Reykjavik Concert Hall and Conference Centre,"8,749",4.5 of 5,Architectural Buildings • Theaters,https://www.tripadvisor.com/Attraction_Review-g189970-d2108615-Reviews-Harpa_Reykjavik_Concert_Hall_and_Conference_Centre-Reykjavik_Capital_Region.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/8d/97/d5/harpa-reykjavik-concert.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Profile/SherylK128
5. Black Sand Beach,"4,035",4.5 of 5,Beaches,https://www.tripadvisor.com/Attraction_Review-g189978-d2402443-Reviews-Black_Sand_Beach-Vik_South_Region.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/ec/b3/bf/photo1jpg.jpg?w=500&h=-1&s=1,https://www.tripadvisor.com/Profile/martincY9169HT
6. Kerid Crater,"2,457",4.0 of 5,Bodies of Water,https://www.tripadvisor.com/Attraction_Review-g315852-d3530877-Reviews-Kerid_Crater-Selfoss_South_Region.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/9e/33/c9/sehr-sehenswert.jpg?w=500&h=-1&s=1,https://www.tripadvisor.com/Profile/nhewes
7. Selfoss Geyser,"2,142",4.5 of 5,Geologic Formations,https://www.tripadvisor.com/Attraction_Review-g315852-d553848-Reviews-Selfoss_Geyser-Selfoss_South_Region.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/e4/06/3a/selfoss-geyser.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Profile/tonywilliams53
8. Godafoss,"1,953",4.5 of 5,Waterfalls,https://www.tripadvisor.com/Attraction_Review-g189954-d283481-Reviews-Godafoss-Akureyri_Northeast_Region.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/b3/2b/a4/esta-retocada-con-lightroom.jpg?w=500&h=-1&s=1,https://www.tripadvisor.com/Profile/jonif95
9. Hallgrimskirkja,"22,372",4.5 of 5,Churches & Cathedrals,https://www.tripadvisor.com/Attraction_Review-g189970-d245998-Reviews-Hallgrimskirkja-Reykjavik_Capital_Region.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/ab/db/c2/imposing-building.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Profile/SheilaF829
10. National Museum of Iceland,"3,853",4.5 of 5,Art Museums • History Museums,https://www.tripadvisor.com/Attraction_Review-g189970-d624551-Reviews-National_Museum_of_Iceland-Reykjavik_Capital_Region.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/31/8c/78/photo6jpg.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Profile/Katherwen
11. Dettifoss Waterfall,"2,277",4.5 of 5,Waterfalls,https://www.tripadvisor.com/Attraction_Review-g315845-d1912449-Reviews-Dettifoss_Waterfall-Lake_Myvatn_Northeast_Region.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/21/87/d5/dettifoss-waterfall.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Profile/StefanieH443
12. Volcano Eyjafjallajokull,66,4.5 of 5,Volcanos,https://www.tripadvisor.com/Attraction_Review-g315852-d6400999-Reviews-Volcano_Eyjafjallajokull-Selfoss_South_Region.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/c4/af/97/indrukwekkende.jpg?w=500&h=-1&s=1,https://www.tripadvisor.com/Profile/annebzr
13. Aurora Reykjavik,"1,773",4.0 of 5,Speciality Museums,https://www.tripadvisor.com/Attraction_Review-g189970-d4508700-Reviews-Aurora_Reykjavik-Reykjavik_Capital_Region.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/c9/6c/82/photo5jpg.jpg?w=500&h=-1&s=1,https://www.tripadvisor.com/Profile/danielf249
14. Vatnajökull,6,5.0 of 5,Geologic Formations,https://www.tripadvisor.com/Attraction_Review-g189952-d255248-Reviews-Vatnajokull-Iceland.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/d2/d9/81/blick-auf-den-vatnajokull.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Profile/Yummyfoodie1
15. Höfn Swimming Pool,218,4.5 of 5,Water Parks,https://www.tripadvisor.com/Attraction_Review-g189960-d3530878-Reviews-Hofn_Swimming_Pool-Hofn_East_Region.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/24/39/e3/caption.jpg?w=500&h=-1&s=1,https://www.tripadvisor.com/Profile/706ingag
